,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year
4251,WILL TYE,NYJ,26.0,3.0,1.0,0.0,0.0,,0.0,6.0,4.0,38.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,7.8,101,33,9.7,,0.0,,7.800000000000001,1.3,2.0,1.95,0.0772277227722772,2017
4252,ANTONY AUCLAIR,TAM,24.0,8.0,3.0,0.0,0.0,,0.0,2.0,2.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,170,21,15.5,,0.0,,4.5,2.25,0.25,2.25,0.0264705882352941,2017
4254,EMANUEL BYRD,GNB,23.0,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,31.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,5.1,11,11,1.1,,0.0,,5.1,2.55,2.0,2.55,0.4636363636363636,2017
4255,DARRELL DANIELS,IND,23.0,12.0,3.0,0.0,0.0,,0.0,13.0,3.0,26.0,8.67,0.0,0.0,0.0,0.0,0.0,0.0,5.6,196,16,19.0,,0.0,,5.6,0.4307692307692307,1.0833333333333333,1.8666666666666665,0.0285714285714285,2017
4264,GEOFF SWAIM,DAL,24.0,15.0,2.0,0.0,0.0,,0.0,2.0,2.0,25.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,4.5,173,11,16.2,,0.0,,4.5,2.25,0.1333333333333333,2.25,0.0260115606936416,2017
4272,MARQUEIS GRAY,MIA,28.0,16.0,0.0,5.0,14.0,2.8,0.0,3.0,1.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,127,7,12.2,0.0,1.4,0.28,2.0,0.6666666666666666,0.1875,2.0,0.026771653543307,2017
4273,RYAN HEWITT,CIN,26.0,13.0,3.0,0.0,0.0,,0.0,2.0,2.0,22.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,106,8,11.0,,0.0,,4.2,2.1,0.1538461538461538,2.1,0.0396226415094339,2017
4274,COLE HIKUTINI,SFO,23.0,4.0,0.0,0.0,0.0,,0.0,3.0,2.0,15.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,3.5,32,8,2.9,,0.0,,3.5,1.1666666666666667,0.75,1.75,0.109375,2017
4275,CHRIS MANHERTZ,CAR,25.0,16.0,4.0,0.0,0.0,,0.0,4.0,2.0,17.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,3.7,291,18,27.0,,0.0,,3.7,0.925,0.25,1.85,0.0127147766323024,2017
4298,JEFF CUMBERLAND,LAC,30.0,7.0,3.0,0.0,0.0,,0.0,3.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,148,21,13.9,,0.0,,2.2,0.7333333333333334,0.4285714285714285,1.1,0.0148648648648648,2017
4302,GARRETT GRIFFIN,NOR,23.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,39,13,3.8,,0.0,,1.4,1.4,0.3333333333333333,1.4,0.0358974358974358,2017
4305,RYAN MALLECK,HOU,24.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,8,4,0.7,,0.0,,1.3,1.3,0.5,1.3,0.1625,2017
