Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Jonathon Brooks,CAR,RB,21,3,1,0.0,0.0,0.0,0.0,0.0,9.0,22.0,2.44,0.0,3.0,3.0,23.0,7.67,0.0,0.0,0.0,0,0.0,0.0,7.5,117
Sione Vaki,DET,RB,23,16,0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,2.33,0.0,3.0,3.0,37.0,12.33,0.0,0.0,0.0,0,0.0,0.0,8.1,115
Jacob Kibodi,CLE,RB,26,1,0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,4.8,0.0,3.0,1.0,15.0,15.0,0.0,0.0,0.0,0,0.0,0.0,4.9,119
J.J. Taylor,HOU,RB,26,5,0,0.0,0.0,0.0,0.0,0.0,10.0,44.0,4.4,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,6.4,118
Rasheen Ali,BAL,RB,23,6,0,0.0,0.0,0.0,0.0,0.0,10.0,31.0,3.1,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,3.1,124
Dalvin Cook,DAL,RB,29,2,0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,2.5,0.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0,0.0,0.0,4.0,125
Travis Homer,CHI,RB,26,10,0,0.0,0.0,0.0,0.0,0.0,6.0,23.0,3.83,0.0,3.0,3.0,11.0,3.67,0.0,0.0,0.0,0,0.0,0.0,6.4,120
Jermar Jefferson,DET,RB,24,2,0,0.0,0.0,0.0,0.0,0.0,6.0,22.0,3.67,0.0,1.0,1.0,10.0,10.0,0.0,0.0,0.0,0,0.0,0.0,4.2,122
Terrell Jennings,NWE,RB,23,3,0,0.0,0.0,0.0,0.0,0.0,13.0,33.0,2.54,0.0,1.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,3.3,121
Jase McClellan,ATL,RB,22,2,0,0.0,0.0,0.0,0.0,0.0,13.0,32.0,2.46,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,3.2,123
MarShawn Lloyd,GNB,RB,23,1,0,0.0,0.0,0.0,0.0,0.0,6.0,15.0,2.5,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0,0.0,0.0,2.8,128
Aaron Shampklin,PIT,RB,25,3,0,0.0,0.0,0.0,0.0,0.0,6.0,17.0,2.83,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,1.7,129
Jonathan Ward,PIT,RB,27,4,0,0.0,0.0,0.0,0.0,0.0,5.0,22.0,4.4,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,2.2,127
Blake Watson,DEN,RB,25,2,0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,2.5,0.0,2.0,1.0,13.0,13.0,0.0,0.0,0.0,0,0.0,0.0,3.3,126
Chris Collier,2TM,RB,24,8,0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,2.4,0.0,2.0,1.0,-4.0,-4.0,0.0,0.0,0.0,0,0.0,0.0,1.8,133
Tyrion Davis-Price,PHI,RB,24,1,0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,2.33,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.7,134
Myles Gaskin,MIN,RB,27,5,0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,-0.33,0.0,1.0,1.0,11.0,11.0,0.0,0.0,0.0,0,0.0,0.0,2.0,130
George Holani,SEA,RB,25,5,0,0.0,0.0,0.0,0.0,0.0,3.0,10.0,3.33,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0,0.0,0.0,1.9,131
Cody Schrader,LAR,RB,25,1,0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,1.0,6.0,6.0,0.0,0.0,0.0,0,0.0,0.0,1.9,132
British Brooks,HOU,RB,25,5,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.2,138
Darrynton Evans,CHI,RB,26,5,0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.3,137
Joshua Kelley,TEN,RB,27,3,0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.2,139
