,Player,Tm,Age,G,GS,Att_Rush,Yds (Rush),Y/A,TD (Rush),Tgt,Rec,Yds_Rec,Yds_per_rec,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,Total_Snaps,Avg Snaps,TM SNAP %,PPR_PassAtt,PPR_Rush,PPR_RushAtt,Tot_PPR_Rec,PPR_Tgt,Tgt_gm,PPR_Rec,PPR_Snap,Year,PPR_Yards_Only
246,RASHEE RICE,KAN,24.0,4.0,4.0,1.0,1.0,1.0,0.0,29.0,24.0,288.0,12.0,2.0,0.0,0.0,2.0,0.0,0.0,64.9,0,38,60.8,,0.1,0.1,64.8,2.2344827586206897,7.25,2.7,,2024,28.8
247,JUSTIN WATSON,KAN,28.0,17.0,7.0,0.0,0.0,,0.0,32.0,22.0,289.0,13.14,2.0,0.0,0.0,2.0,0.0,0.0,62.9,0,40,59.8,,0.0,,62.900000000000006,1.965625,1.8823529411764703,2.8590909090909093,,2024,28.900000000000002
248,VAN JEFFERSON,PIT,28.0,17.0,12.0,0.0,0.0,,0.0,40.0,24.0,276.0,11.5,2.0,0.0,0.0,2.0,0.0,0.0,63.6,721,42,63.9,,0.0,,63.6,1.59,2.3529411764705883,2.65,0.0882108183079056,2024,27.6
249,KALIF RAYMOND,DET,30.0,12.0,2.0,2.0,0.0,0.0,0.0,22.0,17.0,215.0,12.65,2.0,0.0,0.0,3.0,0.0,0.0,56.5,211,17,27.0,,0.0,0.0,50.5,2.2954545454545454,1.8333333333333333,2.9705882352941178,0.2677725118483412,2024,21.5
251,TYLER BOYD,TEN,30.0,16.0,8.0,1.0,3.0,3.0,0.0,57.0,39.0,390.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3,635,39,58.0,0.0,0.3,0.3,78.0,1.368421052631579,3.5625,2.0,0.1233070866141732,2024,39.0
253,TROY FRANKLIN,DEN,21.0,16.0,6.0,2.0,8.0,4.0,0.0,53.0,28.0,263.0,9.39,2.0,0.0,0.0,2.0,0.0,0.0,67.1,386,24,35.0,,0.8,0.4,66.3,1.2509433962264151,3.3125,2.367857142857143,0.1738341968911917,2024,26.3
256,BRANDON AIYUK,SFO,26.0,7.0,7.0,0.0,0.0,,0.0,47.0,25.0,374.0,14.96,0.0,0.0,0.0,0.0,0.0,0.0,62.4,357,51,76.3,,0.0,,62.4,1.327659574468085,6.714285714285714,2.496,0.1747899159663865,2024,37.4
257,KENDRICK BOURNE,NWE,29.0,12.0,9.0,1.0,6.0,6.0,0.0,38.0,28.0,305.0,10.89,1.0,0.0,0.0,1.0,0.0,0.0,65.1,456,38,54.0,0.0,0.6000000000000001,0.6000000000000001,64.5,1.6973684210526316,3.1666666666666665,2.3035714285714284,0.1427631578947368,2024,30.5
258,DYAMI BROWN,WAS,25.0,16.0,3.0,3.0,26.0,8.67,0.0,40.0,30.0,308.0,10.27,1.0,1.0,1.0,1.0,0.0,0.0,67.4,495,30,42.6,0.0,2.6,0.8666666666666667,66.8,1.67,2.5,2.2266666666666666,0.1361616161616161,2024,30.8
263,MIKE WILLIAMS,2TM,30.0,18.0,5.0,0.0,0.0,,0.0,34.0,21.0,298.0,14.19,1.0,0.0,0.0,1.0,0.0,0.0,56.8,472,26,40.5,,0.0,,56.8,1.6705882352941177,1.8888888888888888,2.7047619047619045,0.1203389830508474,2024,29.8
264,NELSON AGHOLOR,BAL,31.0,14.0,7.0,0.0,0.0,,0.0,29.0,14.0,231.0,16.5,2.0,0.0,0.0,2.0,0.0,0.0,49.1,420,30,37.8,,0.0,,49.1,1.693103448275862,2.071428571428572,3.507142857142857,0.1169047619047619,2024,23.1
265,TYLER JOHNSON,LAR,26.0,15.0,2.0,0.0,0.0,,0.0,41.0,26.0,291.0,11.19,1.0,0.0,0.0,1.0,0.0,0.0,61.1,361,24,33.1,,0.0,,61.1,1.4902439024390244,2.7333333333333334,2.35,0.1692520775623268,2024,29.1
267,JUJU SMITH-SCHUSTER,KAN,28.0,14.0,8.0,0.0,0.0,,0.0,26.0,18.0,231.0,12.83,2.0,0.0,0.0,2.0,0.0,0.0,53.1,424,30,36.9,,0.0,,53.1,2.042307692307692,1.8571428571428568,2.95,0.1252358490566038,2024,23.1
268,GABRIEL DAVIS,JAX,25.0,10.0,9.0,0.0,0.0,,0.0,42.0,20.0,239.0,11.95,2.0,1.0,1.0,2.0,0.0,0.0,53.9,410,41,65.5,,0.0,,55.900000000000006,1.330952380952381,4.2,2.7950000000000004,0.1314634146341463,2024,23.900000000000002
270,LIL'JORDAN HUMPHREY,DEN,26.0,17.0,7.0,0.0,0.0,,0.0,45.0,31.0,293.0,9.45,1.0,2.0,1.0,1.0,0.0,0.0,64.3,546,32,49.5,,0.0,,66.3,1.4733333333333332,2.647058823529412,2.138709677419355,0.1177655677655677,2024,29.3
272,CURTIS SAMUEL,BUF,28.0,14.0,2.0,5.0,14.0,2.8,0.0,46.0,31.0,253.0,8.16,1.0,0.0,0.0,1.0,0.0,0.0,63.7,378,27,34.7,,1.4,0.28,62.3,1.3543478260869564,3.2857142857142856,2.009677419354839,0.1685185185185185,2024,25.3
278,JOHN METCHIE,HOU,24.0,13.0,3.0,0.0,0.0,,0.0,37.0,24.0,254.0,10.58,1.0,1.0,0.0,1.0,0.0,0.0,55.4,381,29,34.4,,0.0,,55.400000000000006,1.4972972972972975,2.8461538461538463,2.3083333333333336,0.1454068241469816,2024,25.400000000000002
279,ADONAI MITCHELL,IND,22.0,17.0,7.0,4.0,6.0,1.5,0.0,55.0,23.0,312.0,13.57,0.0,2.0,1.0,0.0,0.0,0.0,53.8,383,22,35.2,0.96,0.6000000000000001,0.15,54.2,0.9854545454545456,3.235294117647059,2.356521739130435,0.1404699738903394,2024,31.200000000000003
282,DJ TURNER,LVR,27.0,12.0,6.0,5.0,33.0,6.6,1.0,29.0,16.0,158.0,9.88,1.0,1.0,0.0,2.0,0.0,0.0,47.1,358,29,45.5,,9.3,1.86,37.8,1.303448275862069,2.4166666666666665,2.3625,0.1315642458100558,2024,15.8
283,JORDAN WHITTINGTON,LAR,24.0,15.0,3.0,2.0,12.0,6.0,0.0,28.0,22.0,293.0,13.32,0.0,0.0,0.0,0.0,0.0,0.0,52.5,278,18,25.5,,1.2000000000000002,0.6000000000000001,51.3,1.832142857142857,1.8666666666666667,2.3318181818181816,0.1888489208633093,2024,29.3
287,CEDRICK WILSON,NOR,29.0,15.0,4.0,0.0,0.0,,0.0,27.0,20.0,211.0,10.55,1.0,1.0,1.0,1.0,0.0,0.0,49.9,384,25,35.3,4.84,0.0,,47.1,1.7444444444444445,1.8,2.355,0.1299479166666666,2024,21.1
