Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Erick All,CIN,TE,24,9,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,20.0,158.0,7.9,0.0,0.0,0.0,0,0.0,0.0,35.8,62
Michael Mayer,LVR,TE,23,11,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,32.0,21.0,156.0,7.43,0.0,0.0,0.0,0,0.0,0.0,36.6,64
Eric Saubert,SFO,TE,30,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,14.0,11.0,97.0,8.82,1.0,1.0,0.0,1,0.0,0.0,26.7,63
Lucas Krull,DEN,TE,26,13,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,23.0,19.0,152.0,8.0,0.0,0.0,0.0,0,0.0,0.0,34.2,65
Daniel Bellinger,NYG,TE,24,17,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,14.0,125.0,8.93,0.0,0.0,0.0,0,0.0,0.0,26.5,66
Jeremy Ruckert,NYJ,TE,24,17,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,18.0,105.0,5.83,0.0,0.0,0.0,0,0.0,0.0,28.5,69
Blake Whiteheart,CLE,TE,24,11,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,9.0,6.0,51.0,8.5,1.0,0.0,0.0,1,0.0,0.0,17.1,67
Kenny Yeboah,NYJ,TE,26,9,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,5.0,47.0,9.4,1.0,0.0,0.0,1,0.0,0.0,15.7,68
Connor Heyward,PIT,TE,25,17,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,8.0,6.0,40.0,6.67,1.0,0.0,0.0,1,0.0,0.0,16.0,70
Julian Hill,MIA,TE,24,16,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,19.0,12.0,100.0,8.33,0.0,1.0,0.0,0,0.0,0.0,22.0,71
