Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Deebo Samuel,SFO,WR,28,15,15,0.0,0.0,0.0,0.0,0.0,42.0,136.0,3.24,1.0,81.0,51.0,670.0,13.14,3.0,2.0,1.0,4,0.0,0.0,153.6,44
Jalen Tolbert,DAL,WR,25,17,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,79.0,49.0,610.0,12.45,7.0,0.0,0.0,7,0.0,0.0,152.0,43
Alexander Mattison,LVR,RB,26,14,7,0.0,0.0,0.0,0.0,0.0,132.0,420.0,3.18,4.0,48.0,36.0,294.0,8.17,1.0,1.0,1.0,5,1.0,0.0,137.4,34
Ray Davis,BUF,RB,25,17,0,0.0,0.0,0.0,0.0,0.0,113.0,442.0,3.91,3.0,19.0,17.0,189.0,11.12,3.0,0.0,0.0,6,0.0,0.0,116.1,35
Joe Flacco,IND,QB,39,8,6,162.0,248.0,1761.0,12.0,7.0,9.0,26.0,2.89,0.0,0.0,0.0,0.0,,0.0,4.0,4.0,0,0.0,0.0,99.0,34
Jalen McMillan,TAM,WR,23,13,12,0.0,0.0,0.0,0.0,0.0,4.0,43.0,10.75,0.0,58.0,37.0,461.0,12.46,8.0,0.0,0.0,8,0.0,0.0,135.4,45
Austin Ekeler,WAS,RB,29,12,6,0.0,0.0,0.0,0.0,0.0,77.0,367.0,4.77,4.0,41.0,35.0,366.0,10.46,0.0,3.0,0.0,4,0.0,0.0,132.3,36
Jerome Ford,CLE,RB,25,14,6,0.0,0.0,0.0,0.0,0.0,104.0,565.0,5.43,3.0,43.0,37.0,225.0,6.08,0.0,0.0,0.0,3,0.0,0.0,134.0,37
Michael Pittman Jr.,IND,WR,27,16,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,111.0,69.0,808.0,11.71,3.0,1.0,1.0,3,0.0,0.0,165.8,46
Mac Jones,JAX,QB,26,10,7,171.0,262.0,1672.0,8.0,8.0,28.0,92.0,3.29,1.0,0.0,0.0,0.0,,0.0,2.0,2.0,1,0.0,1.0,96.1,36
