Player,Tm,FantPos,Age,G,GS,Cmp,Att (Pass),Yds (Pass),TD (Pass),Int,Att (Rush),Yds (Rush),Y/A (Rush),TD (Rush),Tgt (Rec),Receptions,Yds (Rec),Y/R,TD (Rec),Fmb,FL,TD,2PM,2PP,PPR,PosRank
Curtis Samuel,BUF,WR,28,14,2,0.0,0.0,0.0,0.0,0.0,5.0,14.0,2.8,0.0,46.0,31.0,253.0,8.16,1.0,0.0,0.0,1,0.0,0.0,63.7,111
John Metchie,HOU,WR,24,13,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,37.0,24.0,254.0,10.58,1.0,1.0,0.0,1,0.0,0.0,55.4,112
Adonai Mitchell,IND,WR,22,17,7,1.0,1.0,24.0,0.0,0.0,4.0,6.0,1.5,0.0,55.0,23.0,312.0,13.57,0.0,2.0,1.0,0,0.0,0.0,53.8,114
DJ Turner,LVR,WR,27,12,6,0.0,0.0,0.0,0.0,0.0,5.0,33.0,6.6,1.0,29.0,16.0,158.0,9.88,1.0,1.0,0.0,2,0.0,0.0,47.1,113
Jordan Whittington,LAR,WR,24,15,3,0.0,0.0,0.0,0.0,0.0,2.0,12.0,6.0,0.0,28.0,22.0,293.0,13.32,0.0,0.0,0.0,0,0.0,0.0,52.5,115
Cedrick Wilson Jr.,NOR,WR,29,15,4,1.0,1.0,21.0,1.0,0.0,0.0,0.0,,0.0,27.0,20.0,211.0,10.55,1.0,1.0,1.0,1,0.0,0.0,49.9,116
Malik Washington,MIA,WR,23,14,3,0.0,0.0,0.0,0.0,0.0,5.0,25.0,5.0,1.0,36.0,26.0,223.0,8.58,0.0,1.0,1.0,1,0.0,0.0,54.8,117
Derius Davis,LAC,WR,24,15,2,0.0,0.0,0.0,0.0,0.0,12.0,39.0,3.25,0.0,17.0,13.0,112.0,8.62,2.0,3.0,0.0,2,0.0,0.0,40.1,118
KhaDarel Hodge,ATL,WR,29,17,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,7.0,131.0,18.71,1.0,0.0,0.0,2,0.0,0.0,32.1,121
Ryan Miller,TAM,WR,24,11,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,20.0,12.0,128.0,10.67,2.0,0.0,0.0,2,0.0,0.0,36.8,122
Josh Reynolds,2TM,WR,29,9,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,13.0,194.0,14.92,1.0,0.0,0.0,1,0.0,0.0,38.4,119
Tylan Wallace,BAL,WR,25,17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,12.0,11.0,193.0,17.55,1.0,1.0,0.0,1,0.0,0.0,36.3,120
Jalen Brooks,DAL,WR,24,14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,12.0,177.0,14.75,1.0,0.0,0.0,1,0.0,0.0,35.7,123
Jahan Dotson,PHI,WR,24,17,6,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,0.0,33.0,19.0,216.0,11.37,0.0,0.0,0.0,0,0.0,0.0,41.9,125
Trey Palmer,TAM,WR,23,15,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,22.0,12.0,172.0,14.33,1.0,1.0,0.0,1,0.0,0.0,35.2,124
Malik Heath,GNB,WR,24,13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,10.0,97.0,9.7,2.0,0.0,0.0,2,0.0,0.0,31.7,126
Mecole Hardman,KAN,WR,26,12,0,0.0,0.0,0.0,0.0,0.0,5.0,62.0,12.4,1.0,14.0,12.0,90.0,7.5,0.0,0.0,0.0,1,0.0,0.0,33.2,127
Ja'Lynn Polk,NWE,WR,22,15,7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,12.0,87.0,7.25,2.0,0.0,0.0,2,0.0,0.0,32.7,128
Dante Pettis,NOR,WR,29,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,28.0,12.0,120.0,10.0,1.0,0.0,0.0,1,1.0,0.0,32.0,129
Bub Means,NOR,WR,23,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,15.0,9.0,118.0,13.11,1.0,0.0,0.0,1,0.0,0.0,26.8,131
Robert Woods,HOU,WR,32,15,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,30.0,20.0,203.0,10.15,0.0,3.0,1.0,0,0.0,0.0,38.3,130
Jake Bobo,SEA,WR,26,17,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,17.0,13.0,107.0,8.23,1.0,0.0,0.0,1,0.0,0.0,29.7,135
Jamison Crowder,WAS,WR,31,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,13.0,9.0,72.0,8.0,2.0,2.0,1.0,2,0.0,0.0,26.2,132
Ashton Dulin,IND,WR,27,15,2,0.0,0.0,0.0,0.0,0.0,5.0,45.0,9.0,0.0,8.0,2.0,67.0,33.5,1.0,0.0,0.0,1,0.0,0.0,19.2,133
Luke McCaffrey,WAS,WR,23,17,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,24.0,18.0,168.0,9.33,0.0,0.0,0.0,0,0.0,0.0,34.8,134
Kevin Austin,NOR,WR,24,8,2,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,22.0,11.0,151.0,13.73,0.0,1.0,0.0,0,0.0,0.0,27.0,136
Bo Melton,GNB,WR,25,17,0,0.0,0.0,0.0,0.0,0.0,8.0,54.0,6.75,0.0,17.0,8.0,91.0,11.38,0.0,0.0,0.0,0,0.0,0.0,22.5,138
Jonathan Mingo,2TM,WR,23,17,6,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5,0.0,42.0,17.0,167.0,9.82,0.0,1.0,1.0,0,0.0,0.0,32.2,137
